x,y,z,x_sym,y_sym,z_sym
55939,98717,169464,53567,97782,169649
55939,98717,175464,53400,97878,175610
55939,98717,181464,53255,97970,181563
55939,98717,187464,53305,98024,187510
55939,98717,193464,53714,98014,193456
55939,98717,199464,54552,97924,199432
55939,98717,205464,55249,97759,205595
55939,98717,211464,55445,97506,212058
55939,98717,217464,55546,97222,218541
55939,98717,223464,55885,97007,224699
55939,98717,229464,56536,97011,230325
55939,98717,235464,57272,97096,235635
55939,104717,37464,59494,102748,40608
55939,104717,43464,59062,102714,46332
55939,104717,49464,58626,102706,52057
55939,104717,55464,58231,102741,57741
55939,104717,61464,57931,102817,63365
55939,104717,67464,57782,102913,68967
55939,104717,73464,57829,102994,74622
55939,104717,79464,58062,103039,80391
55939,104717,85464,58370,103052,86265
55939,104717,91464,58571,103058,92190
55939,104717,97464,58540,103085,98118
55939,104717,103464,58284,103139,104045
55939,104717,109464,57884,103207,109981
55939,104717,115464,57415,103273,115933
55939,104717,121464,56934,103322,121897
55939,104717,127464,56491,103344,127872
55939,104717,133464,56127,103335,133855
55939,104717,139464,55845,103305,139845
55939,104717,145464,55603,103278,145838
55939,104717,151464,55364,103276,151825
55939,104717,157464,55132,103303,157804
55939,104717,163464,54935,103355,163773
55939,104717,169464,54773,103425,169734
55939,104717,175464,54640,103502,175688
55939,104717,181464,54578,103570,181634
55939,104717,187464,54675,103606,187577
55939,104717,193464,55001,103591,193531
55939,104717,199464,55510,103515,199532
55939,104717,205464,55972,103379,205646
55939,104717,211464,56249,103190,211883
55939,104717,217464,56463,102986,218108
55939,110717,37464,60239,108420,41148
55939,110717,43464,59908,108379,46886
55939,110717,49464,59587,108364,52611
55939,110717,55464,59312,108388,58282
55939,110717,61464,59121,108457,63886
55939,110717,67464,59046,108553,69455
55939,110717,73464,59101,108650,75058
55939,110717,79464,59259,108727,80753
55939,110717,85464,59444,108780,86546
55939,110717,91464,59548,108822,92408
55939,110717,97464,59498,108865,98303
55939,110717,103464,59284,108914,104216
55939,110717,109464,58947,108967,110146
55939,110717,115464,58537,109013,116091
55939,110717,121464,58106,109043,122049
55939,110717,127464,57695,109052,128016
55939,110717,133464,57333,109040,133991
55939,116717,49464,60527,114067,53058
55939,116717,55464,60335,114089,58723
55939,116717,61464,60209,114152,64326
55939,116717,67464,60167,114246,69892
55939,116717,73464,60208,114348,75479
55939,116717,79464,60305,114441,81132
55939,116717,85464,60405,114516,86870
55939,116717,91464,60446,114576,92679
61939,8717,49464,59859,8433,42270
61939,8717,55464,61026,8180,47641
61939,8717,61464,61790,8033,53620
61939,8717,67464,62081,7998,60030
61939,8717,73464,61925,8051,66578
61939,14717,43464,59093,13930,36607
61939,14717,49464,60805,13494,41234
61939,14717,55464,62210,13232,46602
61939,14717,61464,62985,13181,52870
61939,14717,67464,63146,13310,59743
61939,14717,73464,62824,13513,66611
61939,14717,79464,62112,13726,73277
61939,20717,37464,57794,19405,32144
61939,20717,43464,59768,18781,36257
61939,20717,49464,61837,18128,40877
61939,20717,55464,63678,17734,45760
61939,20717,61464,64160,17950,52383
61939,20717,67464,63962,18476,59940
61939,20717,73464,63417,18933,67046
61939,20717,79464,62516,19289,73748
61939,20717,85464,61368,19584,80241
61939,26717,31464,56975,25007,27373
61939,26717,37464,58778,24338,32213
61939,26717,43464,60641,23734,36880
61939,26717,49464,62554,22823,42117
61939,26717,55464,65503,21746,45041
61939,26717,61464,64599,22650,53061
61939,26717,67464,64155,23710,61006
61939,26717,73464,63477,24391,67947
61939,26717,79464,62452,24880,74504
61939,26717,85464,61212,25260,80907
61939,32717,25464,56995,31264,22216
61939,32717,31464,59194,30369,26843
61939,32717,37464,60814,29805,32199
61939,32717,43464,61815,29317,37968
61939,32717,49464,62587,28550,43976
61939,32717,55464,62854,27817,49746
61939,32717,61464,63361,28561,56071
61939,32717,67464,63490,29398,62788
61939,32717,73464,62861,30008,69158
61939,32717,79464,61833,30554,75478
61939,38717,31464,61507,36432,27068
61939,38717,37464,62558,35976,32802
61939,38717,43464,62867,35597,39112
61939,38717,49464,62876,35054,45533
61939,38717,55464,62700,34663,51846
61939,38717,61464,62585,34899,58137
61939,38717,67464,62377,35348,64335
61939,38717,73464,61722,35847,70447
61939,44717,37464,63483,42798,34123
61939,44717,43464,63478,42371,40342
61939,44717,49464,63155,41767,46678
61939,44717,55464,62632,41304,53059
61939,44717,61464,61978,41221,59365
61939,50717,43464,63591,49124,41399
61939,50717,49464,63120,48341,47440
61939,62717,43464,62806,61450,42584
61939,62717,49464,62031,60705,48583
61939,62717,55464,60904,60007,54841
61939,62717,61464,59326,59654,61197
61939,62717,67464,57153,60100,67479
61939,62717,73464,54984,60659,73585
61939,62717,79464,53689,61043,79554
61939,68717,37464,63235,67886,36904
61939,68717,43464,62471,67361,42856
61939,68717,49464,61445,66772,49069
61939,68717,55464,60164,66298,55365
61939,68717,61464,58512,66152,61650
61939,68717,67464,56471,66443,67859
61939,68717,73464,54319,66927,73954
61939,68717,79464,53098,67237,79947
61939,68717,85464,53805,67091,85860
61939,68717,91464,54738,66813,91682
61939,68717,97464,55361,66534,97450
61939,68717,103464,55540,66348,103235
61939,68717,109464,55310,66308,109090
61939,68717,115464,54888,66388,115044
61939,68717,121464,54347,66534,121092
61939,68717,127464,53750,66682,127212
61939,68717,133464,53262,66823,133389
61939,68717,139464,52887,66944,139591
61939,68717,145464,52413,67031,145705
61939,68717,151464,51721,67120,151660
61939,68717,157464,51022,67260,157541
61939,68717,163464,50780,67387,163491
61939,68717,169464,50838,67508,169537
61939,68717,175464,50954,67649,175628
61939,68717,181464,51329,67746,181776
61939,68717,187464,52131,67670,187955
61939,68717,193464,53441,67348,194136
61939,68717,199464,54982,66944,200205
61939,74717,37464,63259,73578,37158
61939,74717,43464,62360,73174,43224
61939,74717,49464,61232,72756,49522
61939,74717,55464,59929,72462,55823
61939,74717,61464,58421,72404,62050
61939,74717,67464,56771,72593,68196
61939,74717,73464,55301,72881,74271
61939,74717,79464,54684,73013,80287
61939,74717,85464,55189,72847,86225
61939,74717,91464,56027,72514,92046
61939,74717,97464,56615,72174,97778
61939,74717,103464,56757,71963,103522
61939,74717,109464,56466,71955,109360
61939,74717,115464,56031,72093,115308
61939,74717,121464,55464,72297,121334
61939,74717,127464,54824,72470,127409
61939,74717,133464,54393,72559,133534
61939,74717,139464,54213,72562,139693
61939,74717,145464,53970,72531,145802
61939,74717,151464,53440,72566,151780
61939,74717,157464,52780,72732,157661
61939,74717,163464,52466,72928,163589
61939,74717,169464,52393,73138,169622
61939,74717,175464,52387,73381,175722
61939,74717,181464,52652,73564,181883
61939,74717,187464,53357,73544,188111
61939,74717,193464,54621,73197,194445
61939,74717,199464,56180,72683,200708
61939,74717,205464,57416,72510,206376
61939,74717,211464,58171,72724,212356
61939,74717,217464,58841,72927,218624
61939,80717,37464,63353,79171,37855
61939,80717,43464,62472,78874,43901
61939,80717,49464,61410,78585,50122
61939,80717,55464,60233,78396,56339
61939,80717,61464,58985,78366,62468
61939,80717,67464,57783,78480,68512
61939,80717,73464,56917,78625,74519
61939,80717,79464,56776,78636,80532
61939,80717,85464,57346,78434,86514
61939,80717,91464,58044,78108,92371
61939,80717,97464,58369,77819,98094
61939,80717,103464,58264,77691,103815
61939,80717,109464,57854,77763,109654
61939,80717,115464,57350,77961,115589
61939,80717,121464,56778,78190,121562
61939,80717,127464,56189,78349,127557
61939,80717,133464,55837,78359,133597
61939,80717,139464,55800,78230,139693
61939,80717,145464,55759,78073,145787
61939,80717,151464,55360,78043,151802
61939,80717,157464,54794,78201,157719
61939,80717,163464,54463,78428,163650
61939,80717,169464,54338,78693,169661
61939,80717,175464,54238,79006,175732
61939,80717,181464,54298,79267,181836
61939,80717,187464,54788,79327,187976
61939,80717,193464,55808,79072,194181
61939,80717,199464,57129,78660,200294
61939,80717,205464,58265,78465,206141
61939,80717,211464,58930,78543,212276
61939,80717,217464,59355,78516,219023
61939,80717,223464,60315,78514,225717
61939,80717,229464,61816,79625,231985
61939,86717,37464,63611,84717,38757
61939,86717,43464,62825,84479,44769
61939,86717,49464,61911,84259,50890
61939,86717,55464,60940,84118,56984
61939,86717,61464,59983,84088,62970
61939,86717,67464,59164,84146,68854
61939,86717,73464,58709,84211,74722
61939,86717,79464,58911,84164,80681
61939,86717,85464,59655,83959,86707
61939,86717,91464,60281,83694,92631
61939,86717,97464,60312,83533,98370
61939,86717,103464,59947,83538,104082
61939,86717,109464,59420,83684,109908
61939,86717,115464,58870,83897,115815
61939,86717,121464,58302,84098,121736
61939,86717,127464,57743,84211,127666
61939,86717,133464,57420,84166,133640
61939,86717,139464,57414,83973,139679
61939,86717,145464,57430,83763,145742
61939,86717,151464,57091,83700,151768
61939,86717,157464,56599,83825,157721
61939,86717,163464,56341,84022,163671
61939,86717,169464,56266,84272,169662
61939,86717,175464,56094,84589,175684
61939,86717,181464,55966,84874,181704
61939,86717,187464,56219,84990,187713
61939,86717,193464,56971,84875,193727
61939,86717,199464,58095,84645,199704
61939,86717,205464,59126,84539,205657
61939,86717,211464,59617,84586,212081
61939,86717,217464,59510,84564,219824
61939,86717,223464,60080,84054,227910
61939,86717,229464,61995,84887,233251
61939,86717,235464,62810,85384,237245
61939,92717,37464,64049,90244,39681
61939,92717,43464,63384,90025,45691
61939,92717,49464,62645,89826,51754
61939,92717,55464,61894,89695,57748
61939,92717,61464,61212,89654,63586
61939,92717,67464,60709,89679,69281
61939,92717,73464,60553,89706,74961
61939,92717,79464,60913,89672,80800
61939,92717,85464,61639,89549,86803
61939,92717,91464,62148,89404,92756
61939,92717,97464,62042,89369,98529
61939,92717,103464,61579,89465,104256
61939,92717,109464,61009,89638,110068
61939,92717,115464,60429,89824,115949
61939,92717,121464,59855,89967,121845
61939,92717,127464,59327,90024,127752
61939,92717,133464,58987,89953,133696
61939,92717,139464,58872,89774,139692
61939,92717,145464,58791,89588,145716
61939,92717,151464,58537,89510,151727
61939,92717,157464,58194,89575,157699
61939,92717,163464,57969,89729,163657
61939,92717,169464,57848,89947,169624
61939,92717,175464,57659,90218,175595
61939,92717,181464,57496,90471,181548
61939,92717,187464,57615,90613,187470
61939,92717,193464,58162,90615,193373
61939,92717,199464,59126,90533,199282
61939,92717,205464,59994,90488,205335
61939,92717,211464,60340,90471,211933
61939,92717,217464,60300,90366,219375
61939,92717,223464,60752,90077,226594
61939,92717,229464,61955,90214,232098
61939,92717,235464,62875,90542,236742
